Agency Name,Agency Code
District of Columbia Government,4DC0
Los Angeles County Government,4LA0
Oklahoma City Government,4OK0
Air Force National Guard,8FNG
Army/Air National Guard,8RNG
American Battle Monuments Commission,AB00
National Endowment for the Arts,AH01
National Endowment for the Humanities,AH02
Institute of Museum and Library Services,AH03
U.S. Institute Of Peace,AI00
U.S. Agency for International Development,AM00
African Development Foundation,AN00
Appalachian Regional Commission,AP00
Federal Labor Relations Authority,AU00
Arctic Research Commission,AW00
Merit Systems Protection Board,BD00
Defense Nuclear Facilities Safety Board,BF00
Pension Benefit Guaranty Corporation,BG00
Commission for the Preservation of America's Heritage Abroad,BH00
Illinois and Michigan Canal National Heritage Corridor Commission,BJ00
James Madison Memorial Fellowship Foundation,BK00
Office of Management and Budget,BO00
Architectural and Transportation Barriers Compliance Board,BT00
Nuclear Waste Technical Review Board,BW00
Christopher Columbus Fellowship Foundation,BZ00
Commission on Civil Rights,CC00
Council of Economic Advisers,CE00
Commission of Fine Arts,CF00
Central Intelligence Agency,CI00
Community Management,CICM
Commodity Futures Trading Commission,CT00
National Credit Union Administration,CU00
National Commission on Libraries and Information Science,CX00
Delta Regional Authority,DA00
Office of Policy Development,DC00
Export-Import Bank of the United States,EB00
Office of Administration,EC00
Equal Employment Opportunity Commission,EE00
Morris K. Udall Scholarship and Excellence in National Environmental Policy Foundation,EO00
Environmental Protection Agency,EP00
Council on Environmental Quality/Office of Environmental Quality,EQ00
"Commission on Executive, Legislative, and Judicial Salaries",ES00
Trade and Development Agency,EW00
Executive Residence at the White House,EX00
Federal Communications Commission,FC00
Federal Deposit Insurance Corporation,FD00
Federal Financial Institutions Examination Council,FI00
Chemical Safety and Hazard Investigation Board,FJ00
Farm Credit System Insurance Corporation,FK00
Farm Credit Administration,FL00
Federal Mediation and Conciliation Service,FM00
Office of the Director,FQ01
Pretrial Services Agency,FQ02
Federal Reserve System-Board Of Governors,FR00
Federal Trade Commission,FT00
Office of Special Counsel,FW00
Federal Housing Finance Board,FY00
Development Finance Corporation,GB00
Barry Goldwater Scholarship and Excellence in Education Foundation,GE00
Office of Government Ethics,GG00
Presidio Trust,GJ00
Valles Caldera Trust,GM00
White House Commission on the National Moment of Remembrance,GN00
Vietnam Education Foundation,GO00
International Boundary and Water Commission: United States and Mexico,GW00
International Boundary Commission: United States and Canada,GX00
International Joint Commission: United States and Canada,GY00
Committee for Purchase from People Who Are Blind or Severely Disabled,HB00
U.S. Holocaust Memorial Museum,HD00
Advisory Council on Historic Preservation,HP00
Harry S. Truman Scholarship Foundation,HT00
U.S. Agency for Global Media,IB00
Inter-American Foundation,IF00
U.S. Courts,JL02
Administrative Office of the U.S. Courts,JL04
AmeriCorps,KS00
Architect of the Capitol,LA00
Botanic Garden,LB00
Library of Congress,LC00
Congressional Budget Office,LD00
Federal Election Commission,LF00
Government Accountability Office,LG00
Senate,LL01
House of Representatives,LL02
U.S. Capitol Police,LL03
Government Publishing Office,LP00
John C. Stennis Center for Public Service Training and Development,LQ00
U.S. Tax Court,JL03
Marine Mammal Commission,MA00
Federal Maritime Commission,MC00
National Science Foundation,NF00
National Council on Disability,NK00
National Labor Relations Board,NL00
National Mediation Board,NM00
National Capital Planning Commission,NP00
National Archives and Records Administration,NQ00
National Security Council,NS00
Nuclear Regulatory Commission,NU00
Office of Personnel Management,OM00
Occupational Safety and Health Review Commission,OS00
Office of the Vice President,OV00
Public International Organization,PI00
Postal Regulatory Commission,PJ00
U.S. Postal Service,PO00
Peace Corps,PU00
Office of National Drug Control Policy,QQ00
Office of Navajo and Hopi Indian Relocation,RE00
Federal Retirement Thrift Investment Board,RF00
Railroad Retirement Board,RR00
Federal Mine Safety and Health Review Commission,RS00
Small Business Administration,SB00
Securities and Exchange Commission,SE00
Consumer Product Safety Commission,SK00
National Gallery of Art,SM01
Woodrow Wilson International Center for Scholars,SM02
Smithsonian Institution ,SM03
John F. Kennedy Center for the Performing Arts,SM04
Selective Service System,SS00
Social Security Administration,SZ00
National Transportation Safety Board,TB00
U.S. International Trade Commission,TC00
Office of the U.S. Trade Representative,TN00
Office of Science and Technology Policy,TS00
Tennessee Valley Authority,TV00
Japan-United States Friendship Commission,UJ00
Utah Reclamation Mitigation and Conservation Commission,UT00
White House Office,WH01
Office of the President,WH03
U.S. Court of Appeals for Veterans Claims,ZD00
Office of Congressional Workplace Rights,ZG00
Commission on Advancement of Federal Law Enforcement,ZK00
Medicare Payment Advisory Commission,ZL00
Trade Deficit Review Commission,ZN00
Commission on Security and Cooperation in Europe,ZO00
U.S. Commission on International Religious Freedom,ZP00
United States-China Economic and Security Review Commission,ZS00
Dwight D. Eisenhower Memorial Commission,ZU00
Commission on the People's Republic of China,ZV00
Commission on Ocean Policy,ZW00
Abraham Lincoln Bicentennial Commission,ZX00
Nat Comm Terrorist Attacks - Terminated,ZZ00
Army Contracting Agency,ARAC
Indian Tribal Government,3000
Air Force Military Recruiting Activity,8AF0
Army Military Recruiting Activity,8AR0
Air Force Reserves,8FRS
Marine Corps Military Recruiting Activity,8MC0
Navy Reserves,8NRS
Navy Military Recruiting Activity,8NV0
Multi-agency,XX00
U.S. Army Network Enterprise Technology Command/9th Army Signal Command,ARG6
"Commander, Navy Installations",NV52
Army Reserves,8RRS
U.S. Interagency Council on Homelessness,HW00
Office of Federal Housing Enterprise Oversight,HUFH
Agriculture Demonstration Page,00AG
Forest Service Demonstration Page,00FS
Census Demonstration Page,00CE
Defense Demonstration Page,00DD
National Defense University,DD69
Army South Command,ARFL
Naval Education and Training Command,NV76
Election Assistance Commission,GQ00
"Air Force C2 & Intelligence, Surveillance & Reconnaissance",AF1A
"Air Force Elements, U.S. European Command",AF3K
Air Force Manpower Agency,AF11
Commission on Intelligence Capabilities of the U.S. Regarding Weapons of Mass Destruction,IW00
Millennium Challenge Corporation,MI00
"U.S. Army Research, Development and Engineering Command",ARXR
Transportation Administrative Service Center,TD18
Antitrust Modernization Commission,YB00
Legal Service Corporation,5LCS
Armed Forces Radiobiology Research Institute,DD70
Defense Microelectronics Activity,DD71
Pentagon Renovation Program Office,DD72
Virginia Contracting Activity,DD73
Commission on the Review of the Overseas Military Facility Structure of the United States,YA00
Office of the Chief Acquisition Officer,GS16
NASAwide,NNXX
Defense Technical Information Center,DD74
Deputy Assistant Secretary for Legislative Affairs,VAKC
Deputy Assistant Secretary for Security Preparedness,VAHE
Deputy Assistant Secretary for Security and Law Enforcement,VAHF
Department of Defense Test Resource Management Center,DD68
Air Force Wide Support Element,AF25
Air Force Civilian Career Training,AF1Y
U.S. Northern Command,AF4D
Air Force Nuclear Weapons Agency,AF21
Air Force Special Operations Command,AF0V
HQ USAF Direct Support Element,AF24
NASA Shared Services Center,NNNS
Defense Civilian Personnel Advisory Service,DD75
U.S. Army Recruiting Command and U.S. Army Cadet Command,ARTA
U.S. Army War College,ARTW
U.S. Military Entrance Processing Command,ARTM
Office of Communications and Outreach,EDEO
Office of the Director of National Intelligence,OI00
Department of Commerce,CMXX
Air Force District of Washington,AF4W
Business Transformation Agency,DD77
Federal Energy Regulatory Commission,DNFC
Federal Acquisition Service,GS30
Air Elements Defense Intelligence Agency,AF35
Public Interest Declassification Board,DB00
"Office of Planning, Evaluation and Policy Development",EDED
Defense Programs Support Activity,DD78
Denali Commission,DQ00
"Immediate Office of the Assistant Secretary for Operations, Security, and Preparedness",VAGA
Executive Director for Security and Law Enforcement,VAGB
Dep Asst Sec for Emergency Mgt & Resilience,VAGC
Western Area Power Administration,DNWP
Joint Improvised Explosive Device Defeat Organization,DD79
"GSA, Office of Mission Assurance",GS31
Office of the Federal Coordinator for Alaska Natural Gas Transportation Projects,DF00
Office of Strategic Communication,GS32
Air Force Financial Services,AF5J
Air Force Petroleum Agency,AF5K
Southwestern Power Administration,DNSW
U.S. Army Central,AR3A
U.S. Army North,AR5A
U.S. Army South,ARSO
Office of Intelligence & Analysis,HSIA
NASA Office of Inspector General,NNIG
Air Force Cyber Command,AF1K
United States Africa Command,AF1R
National Indian Gaming Commission,IN99
Defense Media Activity,DD80
"Office of the Inspector General, USPS",PO01
Federal Housing Finance Agency,HF00
"Department of Treasury, FedExperience",TRFE
Air Force Public Affairs Agency,AF12
HQ USAF and Support Elements,AF13
Air Force Global Strike Command,AFGS
Air Force Element OSD,AF39
Supreme Court of the United States,JL01
Office of the Special Inspector General for the Troubled Asset Relief Program,TR36
"Tennessee Valley Authority, OIG",TV99
Recovery Act Accountability and Transparency Board,RZ00
Recovery Jobs - Army,ARR1
Recovery Jobs - Commerce,CMR1
Recovery Jobs - Defense,DDR1
Recovery Jobs - Justice,DJR1
Recovery Jobs - Labor,DLR1
Recovery Jobs - Education,EDR1
Recovery Jobs - Energy,DNR1
Recovery Jobs - General Services Administration,GSR1
Recovery Jobs - Health and Human Services,HER1
Recovery Jobs - Homeland Security,HSR1
Recovery Jobs - Housing and Urban Development,HUR1
Recovery Jobs - Interior,INR1
Recovery Jobs - National Aeronautics & Space Administration,NNR1
Recovery Jobs - Navy,NVR1
Recovery Jobs - State,STR1
Recovery Jobs - Transportation,TDR1
Recovery Jobs - Treasury,TRR1
Recovery Jobs - Veterans Affairs,VAR1
Recovery Jobs - Federal Communications Commission,FCR1
Recovery Jobs - Environmental Protection Agency,EPR1
Recovery Act Jobs - Social Security Administration,SZR1
Recovery Jobs - International Boundary and Water Commission: U.S. & Mexico,GWR1
Recovery Jobs - Small Business Administration,SBR1
Recovery Jobs - Office Of Personnel Management,OMR1
Recovery Jobs - Smithsonian Institution,SMR1
Recovery Jobs - National Transportation Safety Board,TBR1
Recovery Jobs - Agriculture,AGR1
Air Force Management Engineering Agency,AF01
Food and Nutrition Service,AG30
National Sheep Industry Improvement Center,AGSC
U.S. Army Acquisition Support Center,ARAE
Unified Combatant Command Headquarters,DD67
"Armed Forces Retirement Home - Gulfport, MS - terminated",RH01
"Armed Forces Retirement Home - Washington, DC - terminated",RH02
U.S. Transportation Command,DD76
Recovery Jobs - OIG-Energy,DNR2
Recovery Jobs - Administration for Children and Families,HER2
Recovery Jobs - Administration on Aging,HER3
Recovery Jobs - Agency for Healthcare Research and Quality,HER4
Recovery Jobs - Agency for Toxic Substances & Disease Registry,HER5
Recovery Jobs - Centers for Disease Control & Prevention,HER6
Recovery Jobs - Centers for Medicare & Medicaid Services,HER7
Recovery Jobs - Food and Drug Administration,HER8
Recovery Jobs - Health Resources and Services Administration,HER9
Recovery Jobs - Indian Health Service,HER0
Recovery Jobs - National Institutes of Health,HERA
Recovery Jobs - Office of the Assistant Secretary of Health,HERB
Recovery Jobs - Office of the Secretary of Health and Human Services,HERC
Recovery Jobs - Program Support Center,HERD
Recovery Jobs - Substance Abuse & Mental Health Services Administration,HERE
Recovery Jobs - Bureau of Indian Affairs,INR2
Recovery Jobs - Bureau of Land Management,INR3
Recovery Jobs - Bureau of Reclamation,INR4
Recovery Jobs - Minerals Management Service,INR5
Recovery Jobs - National Indian Gaming Commission,INR6
Recovery Jobs - National Park Service,INR7
Recovery Jobs - Office of the Inspector General,INR8
"Recovery Jobs - Office of Surface Mining, Reclamation and Enforcement",INR9
Recovery Jobs - Office of the Secretary of Interior,INR0
Recovery Jobs - Office of the Solicitor,INRA
Recovery Jobs - U.S. Fish and Wildlife Service,INRB
Recovery Jobs - U.S. Geological Survey,INRC
Recovery Jobs - Bureau of the Census,CMR2
Recovery Jobs - National Telecommunications and Information Administration,CMR3
Recovery Jobs - Economic Development Administration,CMR4
Recovery Jobs - National Institute of Standards and Technology,CMR5
Recovery Jobs - National Oceanic and Atmospheric Administration,CMR6
Recovery Jobs - Office of the Inspector General,CMR7
Recovery Jobs - Commerce Other subcomponents,CMR8
United States Agriculture Hiring Fair,AGJF
Department of Commerce Hiring Fair,CMJF
Department of Defense Hiring Fair,DDJF
Department of Education Hiring Fair,EDJF
Department of Energy Hiring Fair,DNJF
Department of Health and Human Services Hiring Fair,HEJF
Department of Homeland Security Hiring Fair,HSJF
Department of Housing and Urban Development Hiring Fair,HUJF
Department of Justice Hiring Fair,DJJF
Department of Labor Hiring Fair,DLJF
Department of State Hiring Fair,STJF
Department of Interior Hiring Fair,INJF
Department of Navy Hiring Fair,NVJF
Department of Treasury Hiring Fair,TRJF
Department of Transportation Hiring Fair,TDJF
Department of U.S. Air Force Hiring Fair,AFJF
Department of Veterans Affairs Hiring Fair,VAJF
General Services Administration Hiring Fair,GSJF
National Aeronautics & Space Administration Hiring Fair,NNJF
United States Army Hiring Fair,ARJF
USSOUTHCOM,ARZ9
"Bureau of Land Management, Hiring Fair",INJ1
Wage and Hour Division,DLWH
Office of Federal Contract Compliance Programs,DLOF
Office of Labor-Management Standards,DLOL
Office of Workers' Compensation Programs,DLOW
"United States Marine Corps , Technology Services Organization (TSO)",DDZZ
National Nuclear Security Administration,DNNN
Office of Sustainable Housing and Communities,HUAB
Office of Strategic Planning and Management,HUAC
National Security Division,DJZZ
Office of Environmental Markets,AGEM
Defense Acquisition University,DD81
Central Intelligence Agency Hiring Fair,CIJF
Veterans Health Administration Hiring Fair,VAJ1
Veterans Benefits Administration Hiring Fair,VAJ2
National Cemetery Administration Hiring Fair,VAJ3
US Army Financial Management Command,DDZ1
"Family, Morale, Welfare and Recreation Command (FMWRC)",ARZ8
Army Recreation Machine Program (ARMP),ARZ7
Army Veterinary Command (VETCOM),ARZ6
Field Operating Agency of the Defense - Stars and Stripes,ARZ5
Bureau of Safety and Environmental Enforcement,IN26
Bureau of Ocean Energy Management,IN27
Commission on the Prevention of Weapons of Mass Destruction Proliferation and Terrorism,YE00
Environmental Protection Agency Hiring Fair,EPJF
Social Security Administration Hiring Fair,SZJF
Office Of Personnel Management - Hiring Fair,OMJF
National Science Foundation Hiring Fair,NFJF
Small Business Administration Hiring Fair,SBJF
Amtrak,XAMT
Council of the Inspectors General on Integrity and Efficiency,IG00
Administrative Conference of the United States,AA00
Northern Border Regional Commission,DG00
Medicaid and CHIP Payment and Access Commission,RO00
Federal Housing Finance Agency Hiring Fair,HFJF
Amtrak - Office of Inspector General,XAMG
Office of the Inspector General for the Federal Housing Finance Agency,HFIG
Consumer Financial Protection Bureau,FRFT
Financial Stability Oversight Council (FSOC),TK00
National Foundation on the Arts and the Humanities,AH
Office of Partnerships and Public Engagement,AGAO
Homeland Security Staff,AGHL
Bonneville Power Administration,DN03
Metropolitan Technical Support Center,ST14
Northern Regional Personnel Center,ST27
Materiel Acquisition Support Center,ST32
Eastern Regional Personnel Center,ST46
Air Force Agency for Modeling/Simulation,AF20
U.S. Army Accession Command,ARAA
U.S. Military Entrance Processing Command,ARAP
U.S. Army Corps of Engineers,ARCE
Office of the Former President,WHX1
Office of the President Elect,WHY1
USAJOBS Staff Use Only,0
Centennial of Flight Commission,GK00
Financial Crisis Inquiry Commission,YF00
Federal Housing Finance Agency,HFHA
Office of Inspector General for the Federal Housing Finance Agency,HFHI
U.S. Army Cyber Command,AR2A
Federal Reserve System--Board of Governors,FRBG
National Commission on Fiscal Responsibility and Reform,KR00
Deputy Assistant Secretary for Labor Management Relations,VABH
Dean for VA Learning University,VABI
Ronald Reagan Centennial Commission,YG00
Federal Energy Regulatory Commission,DNFE
Agency System Test,XVAT
District of Columbia Courts,XDCC
Veteran Employment Services Office,VABJ
U. S. Sentencing Commission,JL05
Public Defender Service for the District of Columbia,XPDS
Air Force Installation Contracting Agency,AF14
Office of Administrative Services,GS02
Privacy and Civil Liberties Oversight Board,VD00
Air Force Civil Engineer Center,AF15
U.S. Army Africa/Southern European Task Force (USARAF/SETAF),ARA1
U.S. Tax Court,LT00
Gulf Coast Ecosystem Restoration Council,GC00
Bureau of the Fiscal Service,TRFD
Office of Inspector General,HE13
Defense POW/MIA Accounting Agency,DD53
Air Force Mortuary Affairs Operations,AF16
AF Installation and Mission Support,AF17
Defense Health Agency Air Force Element,AF18
World War 1 Centennial Commission,WX00
Office of the Customer Experience,GS33
U.S. Army Material Command,ARX1
Arlington National Cemetery,ARAN
Technology Transformation Service,GS18
Air Force Manpower Analysis Agency,AF1B
US ARMY HUMAN RESOURCES COMMAND (DRU),ARHC
US Army Civilian Human Resources Agency,ARCH
US Army Financial Management Command,ARFB
Office of Enterprise Operations,VABK
AFELEM US CYBER COMMAND,AF4C
Vet Customer Experience (VCE),VAHG
"Executive Director for Identity, Credential, and Access Management",VAGD
Director for Resource Management,VAGE
Farm Production and Conservation (FPAC) Business Center,AG99
United States Army Futures Command,ARAF
Surface Transportation Board,TW00
National Reconnaissance Office,DD82
Office of Chief of Space Operations,AF4F
United States Space Force,AF4G
Non-DOD And Other Support,AF4V
AFELM DISA,AF30
AFELM DLA,AF33
AFELM Defense Threat Reduction Agency,AF37
AFELM JCS,AF38
"Defense Contract Management Agency, AF Element",AF3A
AFELM Defense Media Activity,AF3B
National Air and Space Intelligence Center,AF40
"National Geospatial-Intel Agency, AF Element",AF41
AFELM US Space Command,AF4S
Federal Permitting Improvement Steering Council,WK00
United States Space Force Forces,AF6F
Space Development Agency,DD84
United States Army Financial Management Command,ARXF
Bureau of Trust Funds Administration,IN29
Special Inspector General For Pandemic Recovery (SIGPR),TR37
DOD Cyber Crime Center,AF5D
United States Army Print and Media Distribution Center,ARXG
Bureau of Indian Education,IN28
Military Treatment Facilities under DHA,DD83
Electronic Health Record Modernization,VAAI
Deputy Assistant Secretary for FMBTS,VADE
Space Force Elements,AF6V
Space Systems Command,AF6S
Space Training and Readiness Command,AF6T
Joint Special Operations Command,ARDJ
Office of the National Cyber Director,DO00
National Space Council (NSpC),WH04
Office of Medicare Hearings and Appeals,HE50
The Naming Commission Office,LL05
Office of Accountability and Whistleblower Protection,VAAJ
Strategic Management Group,VABL
Access Management,VAGI
Plans Exercise TRN & Eval,VAGF
VA Integrated OPS Center,VAGH
OPS & National SER,VAGG
Identity Management,VAGJ
Personnel Security,VAGK
My VA Initiative,VAAG
Intellectual Property Enforcement Coordinator (IPEC),IP00
Public Buildings Reform Board,KY00
Western Hemisphere Drug Policy Commission,WZ00
The Women's Suffrage Centennial Commission,GZ00
The US Semiquincentennial Commission,GU00
Open Source Center,VQ00
Federal Compensation Board,QZ00
Office of Cooperative Programs,IO00
The Public Defender Service for the District of Columbia,PD00
Southeast Crescent Regional Commission,QS00
Office of Inspector General,HB02
Office Of The Committee for Purchase From People Who Are Blind or Severely Disabled,HB01
Commission on the State of U.S. Olympics and Paralympics (CSUSOP),OY00
SFELM United States Space Command,AF6C
SFELM Activity N,AF6R
Space Development Agency,AF6D
Office of the Chief Administrative Officer,HUZZ
Office of Intelligence and Analysis,HSIC
Civil Rights Cold Case Review Board (CRCCRB),RJ00
Afghanistan War Commission,LL07
"Commission on Planning, Programming, Budgeting, and Execution Reform",LL06
Southwest Border Regional Commission,WU00
National Security Commission on Emerging Biotechnology,LL08
Commission on the National Defense Strategy,LL09
Congressional Commission on the Strategic Posture of the United States,LL10
Administration for Strategic Preparedness and Response,HE60
Navy Fleet Cyber Command (FLTCYBER),DDC2
Joint Forces Headquarters-DODIN,DDC5
US Cyber Command (CYBERCOM) Headquarters,DDC0
Marine Forces Cyber Command (MARFORCYBER),DDC4
Army Cyber Command (ARCYBER),DDC1
Air Force Cyber Command (AFCYBER),DDC3
Office of Pandemic Preparedness and Response Policy,OP00
United States Space Force Components,AF6K
Non-DoD and Other Support-USSF,AF4B
Civilian Protection Center Of Excellence (CP CoE),ARCP
USSF Support to HAF (NON-OCSO),AF6H
National Space Intelligence Center,AF6N
USSF Support to USAF (NON-HAF),AF6G
Space Rapid Capabilities Office,AF6A
USSF Support to HAF (NON-OCSO),AF4H
Space Force Service Wide Support Activities,AF6E
Space Futures Command,AF6B
Cyberspace Capabilities Center,AF5C
Air Forces Central,AFCT
Air Forces Northern,AFNS
Air Forces Southern,AFSN
Other Agencies and Independent Organizations,OT
Non-Federal Civilian Customers,ZZ
